humility	겸손
affirmation	단언. 확인. 확언
austere&nbsp;	엄격한
newfangled	최신의 새로만들어진
homespun humor	plain &amp; simple (소박한)
pragmatism	실용주의
posterity	후세. 후대
pomp	사치. 호화
perks	금전적 혜택
shopkeeping	소매업
lionize	명사 취급을 받다
consummate networker	
rabbi	유대교 지도자
earnestness	진지함. 열심. 진심
basher	혹독한 비판자
bourgeoisie	중산층
conceit	자만심
culminate in	~에 이르다. result in
inscriptions from family tombstones	
persecution	박해
tallow	동물기름
odiferous task	냄새나는
atheism	무신론
debauchery	방탕
profaneness	신성모독
lapidary description	정교한. 상세한
dampen XX's aspiration	꺾다
pious	경건한 독실한&nbsp;
chagrin	원통함. 분함 a feeling of frustrated or annoyed because of failure or diappointment
engrossing	마음을 사로잡는
namesake	이름이 같은 사람
clergy	성직자
puckish	장난끼가 많은
cheeky	건방진. 까부는. rude (showing a lack of respect in a playful and amusing way)
balk at	꺼리다. 멈칫거리다
indenture	고용계약서
versify	시를짓다
postmaster	우체국장
Three of his children was stricken with smallpox.	걸리다
rebut	논박하다
rebuttal	논박. 논증
deism	이신론 (하느님이 우주는 창조했지만 우주는 자체의 법칙에 따라 움직인다는 사상)
conniving	involved in illegal, immoral, harmful thing
disputations	논쟁
precocious	조숙한
sassy	1. 건방진 2. very stylish 3. confident &amp; energetic
laud	찬송. 찬양하다. praise
prudish	얌전한체 하는. 고상한척 하는
encroachment	침해. 침략
spinster	독신녀. 노처녀
knave	정직하지 못한놈
demean	품위를 손상시키다. 위신을 떨어뜨리다
obnoxious	불쾌한. unpleasant
extol	극찬하다
hearty meals	따뜻한. 푸짐한
he became adroit at rationalizing	능숙한
almanac	책력
disheveled	단정치못한
disarming wit	상대방을 무장해제시키는
busybody	참견하기 좋아하는 사람
flaunt	과시하다
incorrigibly capricous	고질적인 = inveterate
foible	약점
cavalier	무신경한
fortify	기운을 돋우다. 강화하다
abstinence	금욕. 자제
infallible	절대틀리지 않는. 확실한
ostracize	추방하다. 외면하다
counterfeit	위로하다
dignitary	고위관리
hapless	unfortunate (불운한)
apostle	주창자
pun	말장난. 말장난하다
get a word in edgyways	남의 대화에 끼어들다. 말참견하다
insinuating	1. 교묘하게 환심을사는. 간사한 2. 의심스러운
indentured servant	계약노동자
encroachment	침략. 침해
convivial	명량한. 우호적인
pounce on&nbsp;	즉각 물고늘어지다
shrill	날카로운
vassal	종속국가
heresies	이교. 이단
a droll irony	우스꽝스러운
circumvent	피하다
partisan	편파적인
titillating	(성적으로) 자극하는
interloper	침입자
amorous	성관계를 원하는. 육욕을 보이는
virility	정력
outlandish	기이한. 이상한
tattle on	고자질하다
inpugn	to criticize by suggesting that someone is not honest or should not be trusted (의문을 제기하다)
regal somebody with something	~을 즐겁게 해주다. 융숭하게 대접하다.
endearing	사랑스러운
dowry	(신부의 신랑의) 지참금
glazier	유리 끼우는 일을 하는 사람
elope	run away secretly to get married
dismissively	경멸적으로
scuttle	무산시키다
bigamy	이중결혼
life imprisonment	
eke out	근근이 살아가다.&nbsp;
plight	역경. 곤경
prosaic	평범한. 단조로운
murky	수상쩍은. 흐린. 어두운
scurrilous	1. 악의적인<div>2. vulgar &amp; evil (천박한)</div>
industry	근면성
industrious	근면한
forsake	그만두다. 버리다
barb	가시돋친말
raucous arguments	소란한 거친
admonish	꾸짖다. 책망하다
censorious	대단히 비판적인
matrimonial	결혼생활의 부부간의
paean	찬가
copious	엄청난. 방대한
a fervent advocate of inocuation	
expound on	~에 대해 상세히 설명하다
revert to	복귀하다. 되돌아가다
polytheism	다신교
stymie	1. to stop (someone) from doing something<div>2. to stop (something) from happening</div><div>He had been stymied in all of his political missions</div>
conundrum	수수께끼. 어려운문제
unnerve	불안하게 만들다.
disciples and detractors alike	제자 (따르는사람) 과 욕하는, 비방하는 사람
venery	성적 쾌락의 추구
overbearing	승훈씨. often trying to control other's behavior in an annoying, unwated way
insolent	rude/impolite
infraction	위반. 안지키는거
folly follies	foolish behavior
inculcate	심어주다 (반복해서)
inexorable	unable to stop or change
scurrilous	said or done unfarily to make ppl have a bad opinion of someone (악의적인)
debility	쇠약
indigence	극빈. 극심한 곤궁 (가난)
aberration	something that is unusual or unexpected. 일탈
pithy	간결하나 함축적인
collegiality	동료간의 협조. 협력
fire brigade	소방원
galvanazing personality	
rugged	1. having a rough/uneven surface 2. strong/determined (rugged individualism)
pseudonym	가짜이름
stickler	꼼꼼한 사람
enumerate	열거하다. enumerate in details (상세하게 열거하다) too many to enumerate (셀수없을 만큼)
fastidious	very careful
