dissident	반정부인사. 반체제 인사
I was pleading people for help	
tussle	몸싸움
dazzling	눈부신. It was a dazzling morning
gibberish	횡설수설. a chalkboard filled with gibberish
ensconce	to firmly place or hide (자리를 잡다. 숨다)
We felt welcome in China	
relish	즐기다
Gorbachev	
repression	China was surving on repression rather than legitimacy
pacifier	고무젖꼭지
ferociously	dogs growled ferociously
confiscate	몰수하다
seethe	분노하다. I seethed when I heard that
inundate	침수시키다
shackle	족쇄
toil	(장시간) 힘들게 일하다. 노역, 고역
sovereignty	통치권. 자주권. 자주 unlimited power over a country: a country's indepent authority and right to govern itself
hoodlum	깡패. 불량배
bespectacled	안경을쓴
ambivalence	양면성. 이중성
edgy	edgily 초조해하는 불안한
fortify	강화하다. 요새화하다
revoke	폐지하다. 취소하다
rearview mirror	
correspondent	기자. 특파원
topsy-turvy	topsy-turvy experience (온통뒤죽박죽인. 혼란스런)
He still walks with a limp	
evict	쫓아내다
churn something out	대량으로 만들어내다
suspend	유예하다. 연기하다
leery	의심쩍어하는. 경계하는 (They're leery of foregin joiurnalists)
trepidation	두려움
I resolved to go	
salt-and-pepper hair	희끗희끗한 머리
impoverished peasants	
He was shorter than I by a head	
I sifted through the piles of documents	
papers I was rummaging through	뒤지다
Tianamen Square Democracy Movement	
unequivocal	애매한, 모호한
manacle	수갑
go astray	잘못된 방향으로 가다
pudgy	땅딸막한
unkempt	헝클어진, 단정치못한
counterevolution	반혁명
expunge	삭제하다. communist try to expunge from the history
hard-liner	강경파
impetutous	<div>acting or done quickly without thinking: contolled by emotion that thoughts</div>성급한, 충동적인
fatuous	어리석은, 얼빠진
sooty	그을음진<div>The paint on the ceiling was sooty and chipped</div>
innocuous	not harmful or offensive
insidious	causing harm in a way that is gradual or not easily noticed
thugocracy	여러 폭력단체의 국가
frumpy	유행에 안맞는 옷차림의
thermos	
menacing	위협적인, 해를 끼칠듯한
brash	자신만만한, 건방진
remorse	
I'm rooting for him	
bushy eyebrows	
fulsome	지나친 (overdone): expressing in a very enthusiastic or emotional way
self-abnegation	자기희생
confucianism	
atheist	
agnostic	
Nobody dares complain	
disgunted peasants	
aquiescent	동의하는. 묵인하는
infiltrate	잠입하다. 침투하다
She was sterilized	불임수술을 하다
a man in tattered clothes	
espionage	스파이행위. 방첩활동
mutilate	훼손하다. the body was mutilated
mind-boggling	상상이 안되는, 놀라운, 이해할수 없는
octogenarian	80-90살 노인
IOU	written promise to pay a debt
avaricious	탐욕스러운. 욕심많은
gallop	질주하다. 전속력으로 달리다
clans	씨족
ubiquitousness	만연함 the ubiquitousness of the corruption<div>adj. ubiquitous (어디서나 있는, 아주흔한)</div>
graft	부정이득
kleptocrats	약탈형 정치가
in their eleventh hour	막바지에
cadre	간부단
crook	사기꾼
by sentencing him to life imprisonment	
bribery and avarice	
impossible to uproot	
vehemently	격력하게 deny vehemently
brothel	사창가집
gangly	tall &amp; thin
frail	약한, 부서지기 쉬운
on a wintry day	
The thought gnawed at me	괴롭히다
castrate	거세하다
That got me thinking	
I admire him enormously	
Tears welled in my eyes, and his voice caught.	
retinue	(중요인물의) 수행요원
Dad didn't dare say anything	
gaunt	수척한
famished	굶다
gag	재갈, 입마개
I pounded on the door	
haggle	실랑이를 벌이다. 입씨름하다
My anger toward Fei was ebbing.	
leprosy	나병, 문둥병
consummation	첫날밤 치르기
sodomy	anal sex
inkling	짐작, 눈치<div>Do you have any inkling?</div>
impish	버릇없는. rude
chain-smoke	줄담배피다
hick	시골뜨기. 촌놈
the income gap is widening	
standard of living is rising steadily	
inoculate	inoculate their children against disease
Filipinos / Philippines	
"Mao - ""Great Leap Forward"" 1958"	
scathing	혹독한, 뼈아픈 (very harsh or severe)&nbsp;<div>eg) scathing comment, scathing criticism</div>
government bureaucrat	정부관료
laissez-faire	자유방임주의의
bustling	부산한, 북적거리는
ogre	사람을 잡아먹는 귀신
incredulous	not able or willing to believe: feeling or showing a lack of belief<div>eg) I asked incredulously</div>
economic sclerosis	경화
dilapidated	허물어져가는
atrocious	1) very bad 형편없는 eg) Her Enlgish is atrocious<div>2) very evil or cruel</div>
falter	1) begin to fail/weaken<div>2) walk/move in an unsteady way</div><div>3) to feel doubt about doing something</div>
abscessed	종기가 생긴 abscessed teeth
midwife	조산사
bashful	수줍어하는
China's economic boom	
